"There was an error with the reCAPTCHA code, please try again.","Riprova, non hai selezionato il reCAPTCHA o c'è un errore"
"ReCAPTCHA","ReCAPTCHA"
"Enable ReCAPTCHA on Storefront","Abilita ReCAPTCHA nel negozio"
"Enable ReCAPTCHA in Admin","Abilita ReCAPTCHA nel Backend"
"Site Key","Chiave sito"
"Secret Key","Chiave segreta"
"Forms","Moduli"
"Type of ReCAPTCHA","Tipo di ReCAPTCHA"
"Size of ReCAPTCHA","Lunghezza ReCAPTCHA"
"Color theme of ReCAPTCHA","Colore del tema del ReCAPTCHA"
"Create user","Crea un account"
"Login","Login"
"Forgot password","Password dimenticata"
"Contact Us","Contattaci"
"Admin Login","Admin Login"
"Admin Forgot Password","Admin Password dimenticata"
"Incorrect reCAPTCHA","ReCAPTCHA errato"
"Ajax Login","Ajax Login"
"Compact","Compatto"
"Normal","Normale"
"Dark","Buio"
"Light","Leggero"
"Audio","Audio"
"Image","Immagine"
